Slice,Count,Total Area,Average Size,%Area,Mean
201708_C10_S5_I2,7,0.678,0.097,0.346,255
201708_C10_S5_I2,101,25.357,0.251,12.932,255
201708_C10_S5_I3,25,1.199,0.048,0.611,255
201708_C10_S5_I3,118,16.068,0.136,8.195,255
201708_C11_S1_I1,21,1.112,0.053,0.567,255
201708_C11_S1_I1,213,30.914,0.145,15.766,255
201708_C11_S1_I2,32,1.214,0.038,0.619,255
201708_C11_S1_I2,209,35.722,0.171,18.218,255
201708_C11_S1_I3,29,1.236,0.043,0.631,255
201708_C11_S1_I3,133,16.698,0.126,8.516,255
201708_C11_S2_I1,38,2.276,0.060,1.161,255
201708_C11_S2_I1,126,18.639,0.148,9.506,255
201708_C11_S2_I2,34,1.421,0.042,0.725,255
201708_C11_S2_I2,172,37.060,0.215,18.901,255
201708_C11_S2_I3,45,1.863,0.041,0.950,255
201708_C11_S2_I3,122,23.773,0.195,12.124,255
201708_C11_S3_I1,58,2.070,0.036,1.056,255
201708_C11_S3_I1,227,43.549,0.192,22.210,255
201708_C11_S3_I2,62,2.034,0.033,1.037,255
201708_C11_S3_I2,210,46.684,0.222,23.809,255
201708_C11_S3_I3,52,2.118,0.041,1.080,255
201708_C11_S3_I3,155,20.756,0.134,10.586,255
201708_C11_S4_I1,84,1.717,0.020,0.876,255
201708_C11_S4_I1,389,33.679,0.087,17.177,255
201708_C11_S4_I2,112,2.668,0.024,1.361,255
201708_C11_S4_I2,549,44.688,0.081,22.791,255
201708_C11_S4_I3,135,3.215,0.024,1.640,255
201708_C11_S4_I3,532,33.370,0.063,17.019,255
201708_C11_S5_I1,43,1.171,0.027,0.597,255
201708_C11_S5_I1,254,20.195,0.080,10.300,255
201708_C11_S5_I2,88,2.285,0.026,1.165,255
201708_C11_S5_I2,527,45.155,0.086,23.029,255
201708_C11_S5_I3,77,2.600,0.034,1.326,255
201708_C11_S5_I3,398,51.179,0.129,26.102,255
201708_T01_S1_I1,43,1.290,0.030,0.658,255
201708_T01_S1_I1,324,27.844,0.086,14.200,255
201708_T01_S1_I2,30,1.478,0.049,0.754,255
201708_T01_S1_I2,212,15.292,0.072,7.799,255
201708_T01_S1_I3,50,1.730,0.035,0.882,255
201708_T01_S1_I3,247,24.558,0.099,12.525,255
201708_T01_S2_I1,38,1.603,0.042,0.817,255
201708_T01_S2_I1,221,30.036,0.136,15.319,255
201708_T01_S2_I2,68,2.298,0.034,1.172,255
201708_T01_S2_I2,158,20.765,0.131,10.590,255
201708_T01_S2_I3,70,2.452,0.035,1.251,255
201708_T01_S2_I3,176,21.081,0.120,10.751,255
201708_T01_S3_I1,51,1.697,0.033,0.866,255
201708_T01_S3_I1,211,18.394,0.087,9.381,255
201708_T01_S3_I2,63,1.780,0.028,0.908,255
201708_T01_S3_I2,298,33.836,0.114,17.256,255
201708_T01_S3_I3,77,2.372,0.031,1.210,255
201708_T01_S3_I3,214,14.985,0.070,7.643,255
201708_T01_S4_I1,38,1.826,0.048,0.931,255
201708_T01_S4_I1,96,11.008,0.115,5.614,255
201708_T01_S4_I2,55,1.750,0.032,0.893,255
201708_T01_S4_I2,150,15.446,0.103,7.878,255
201708_T01_S4_I3,26,1.890,0.073,0.964,255
201708_T01_S4_I3,93,14.571,0.157,7.431,255
201708_T01_S5_I1,53,1.846,0.035,0.942,255
201708_T01_S5_I1,223,21.715,0.097,11.075,255
201708_T01_S5_I2,48,1.635,0.034,0.834,255
201708_T01_S5_I2,184,26.736,0.145,13.636,255
201708_T01_S5_I3,63,2.143,0.034,1.093,255
201708_T01_S5_I3,216,21.919,0.101,11.179,255
201708_T02_S1_I1,52,2.177,0.042,1.110,255
201708_T02_S1_I1,277,40.038,0.145,20.419,255
201708_T02_S1_I2,31,1.978,0.064,1.009,255
201708_T02_S1_I2,173,31.669,0.183,16.152,255
201708_T02_S1_I3,36,2.686,0.075,1.370,255
201708_T02_S1_I3,140,17.152,0.123,8.748,255
201708_T02_S2_I1,34,1.447,0.043,0.738,255
201708_T02_S2_I1,225,19.770,0.088,10.083,255
201708_T02_S2_I2,42,1.863,0.044,0.950,255
201708_T02_S2_I2,248,23.189,0.094,11.827,255
201708_T02_S2_I3,42,2.100,0.050,1.071,255
201708_T02_S2_I3,197,21.872,0.111,11.155,255
201708_T02_S3_I1,61,2.032,0.033,1.036,255
201708_T02_S3_I1,342,41.314,0.121,21.071,255
201708_T02_S3_I2,54,1.509,0.028,0.769,255
201708_T02_S3_I2,370,37.574,0.102,19.163,255
201708_T02_S3_I3,52,1.928,0.037,0.983,255
201708_T02_S3_I3,238,17.375,0.073,8.861,255
201708_T02_S4_I1,61,2.450,0.040,1.250,255
201708_T02_S4_I1,193,30.700,0.159,15.657,255
201708_T02_S4_I2,59,2.164,0.037,1.104,255
201708_T02_S4_I2,185,20.886,0.113,10.652,255
201708_T02_S4_I3,28,1.571,0.056,0.801,255
201708_T02_S4_I3,132,21.948,0.166,11.194,255
201708_T02_S5_I1,68,2.364,0.035,1.206,255
201708_T02_S5_I1,156,21.827,0.140,11.132,255
201708_T02_S5_I2,60,2.026,0.034,1.033,255
201708_T02_S5_I2,150,13.153,0.088,6.708,255
201708_T02_S5_I3,53,1.877,0.035,0.957,255
201708_T02_S5_I3,227,26.706,0.118,13.620,255
201708_T03_S1_I1,32,1.629,0.051,0.831,255
201708_T03_S1_I1,141,15.356,0.109,7.832,255
201708_T03_S1_I2,13,0.776,0.060,0.396,255
201708_T03_S1_I2,207,42.177,0.204,21.510,255
201708_T03_S1_I3,50,2.165,0.043,1.104,255
201708_T03_S1_I3,139,20.942,0.151,10.681,255
201708_T03_S2_I1,47,1.706,0.036,0.870,255
201708_T03_S2_I1,186,24.807,0.133,12.652,255
201708_T03_S2_I2,58,1.629,0.028,0.831,255
201708_T03_S2_I2,119,10.000,0.084,5.100,255
201708_T03_S2_I3,47,1.525,0.032,0.778,255
201708_T03_S2_I3,179,19.011,0.106,9.696,255
201708_T03_S3_I1,60,1.749,0.029,0.892,255
201708_T03_S3_I1,278,26.067,0.094,13.294,255
201708_T03_S3_I2,45,1.313,0.029,0.670,255
201708_T03_S3_I2,188,20.241,0.108,10.323,255
201708_T03_S3_I3,62,1.932,0.031,0.985,255
201708_T03_S3_I3,223,27.794,0.125,14.175,255
201708_T03_S4_I1,61,2.252,0.037,1.148,255
201708_T03_S4_I1,235,38.138,0.162,19.450,255
201708_T03_S4_I2,39,1.916,0.049,0.977,255
201708_T03_S4_I2,132,24.080,0.182,12.281,255
201708_T03_S4_I3,76,3.023,0.040,1.542,255
201708_T03_S4_I3,151,28.987,0.192,14.784,255
201708_T03_S5_I1,41,2.352,0.057,1.199,255
201708_T03_S5_I1,111,25.787,0.232,13.152,255
201708_T03_S5_I2,33,1.873,0.057,0.955,255
201708_T03_S5_I2,148,24.212,0.164,12.348,255
201708_T03_S5_I3,34,1.368,0.040,0.698,255
201708_T03_S5_I3,95,25.017,0.263,12.759,255
201708_T04_S1_I1,21,0.819,0.039,0.418,255
