Slice,Count,Total Area,Average Size,%Area,Mean
201702_C01_S1_I1,2,0.638,0.319,0.326,255
201702_C01_S1_I1,30,17.209,0.574,8.777,255
201702_C01_S1_I2,9,0.681,0.076,0.347,255
201702_C01_S1_I2,125,58.335,0.467,29.751,255
201702_C01_S1_I3,7,6.056,0.865,3.089,255
201702_C01_S1_I3,63,26.642,0.423,13.588,255
201702_C01_S2_I1,6,0.144,0.024,0.074,255
201702_C01_S2_I1,147,13.191,0.090,6.727,255
201702_C01_S2_I2,7,0.362,0.052,0.184,255
201702_C01_S2_I2,174,17.385,0.100,8.866,255
201702_C01_S2_I3,0,0.000,NaN,0.000,NaN
201702_C01_S2_I3,146,12.047,0.083,6.144,255
201702_C01_S3_I1,1,0.032,0.032,0.016,255
201702_C01_S3_I1,139,13.013,0.094,6.637,255
201702_C01_S3_I2,4,0.071,0.018,0.036,255
201702_C01_S3_I2,133,12.572,0.095,6.412,255
201702_C01_S3_I3,0,0.000,NaN,0.000,NaN
201702_C01_S3_I3,156,11.078,0.071,5.650,255
201702_C01_S4_I1,6,0.154,0.026,0.079,255
201702_C01_S4_I1,125,11.893,0.095,6.065,255
201702_C01_S4_I2,3,0.193,0.064,0.098,255
201702_C01_S4_I2,134,15.754,0.118,8.035,255
201702_C01_S4_I3,7,0.266,0.038,0.136,255
201702_C01_S4_I3,92,8.240,0.090,4.203,255
201702_C01_S5_I1,1,0.012,0.012,0.006,255
201702_C01_S5_I1,101,10.888,0.108,5.553,255
201702_C01_S5_I2,4,0.229,0.057,0.117,255
201702_C01_S5_I2,191,14.102,0.074,7.192,255
201702_C01_S5_I3,1,0.011,0.011,0.006,255
201702_C01_S5_I3,164,11.197,0.068,5.711,255
201702_C02_S1_I1,2,0.047,0.024,0.024,255
201702_C02_S1_I1,108,13.767,0.127,7.021,255
201702_C02_S1_I2,7,0.170,0.024,0.087,255
201702_C02_S1_I2,182,20.975,0.115,10.697,255
201702_C02_S1_I3,5,0.092,0.018,0.047,255
201702_C02_S1_I3,232,15.663,0.068,7.988,255
201702_C02_S2_I1,2,0.495,0.247,0.252,255
201702_C02_S2_I1,63,29.826,0.473,15.211,255
201702_C02_S2_I2,7,3.506,0.501,1.788,255
201702_C02_S2_I2,43,34.701,0.807,17.698,255
201702_C02_S2_I3,2,0.370,0.185,0.189,255
201702_C02_S2_I3,38,23.894,0.629,12.186,255
201702_C02_S3_I1,2,0.055,0.028,0.028,255
201702_C02_S3_I1,282,19.621,0.070,10.007,255
201702_C02_S3_I2,2,0.061,0.030,0.031,255
201702_C02_S3_I2,232,17.332,0.075,8.840,255
201702_C02_S3_I3,1,0.046,0.046,0.023,255
201702_C02_S3_I3,280,17.050,0.061,8.696,255
201702_C02_S4_I1,5,0.083,0.017,0.042,255
201702_C02_S4_I1,93,17.383,0.187,8.866,255
201702_C02_S4_I2,5,0.139,0.028,0.071,255
201702_C02_S4_I2,210,25.943,0.124,13.231,255
201702_C02_S4_I3,1,0.030,0.030,0.015,255
201702_C02_S4_I3,92,11.277,0.123,5.751,255
201702_C02_S5_I1,2,0.099,0.050,0.051,255
201702_C02_S5_I1,167,9.666,0.058,4.930,255
201702_C02_S5_I2,3,0.067,0.022,0.034,255
201702_C02_S5_I2,232,12.580,0.054,6.416,255
201702_C02_S5_I3,3,0.068,0.023,0.035,255
201702_C02_S5_I3,229,15.843,0.069,8.080,255
201702_C03_S1_I1,4,0.306,0.076,0.156,255
201702_C03_S1_I1,140,21.172,0.151,10.798,255
201702_C03_S1_I2,1,0.016,0.016,0.008,255
201702_C03_S1_I2,59,10.257,0.174,5.231,255
201702_C03_S1_I3,1,0.091,0.091,0.046,255
201702_C03_S1_I3,124,12.988,0.105,6.624,255
201702_C03_S2_I1,1,0.020,0.020,0.010,255
201702_C03_S2_I1,193,15.658,0.081,7.986,255
201702_C03_S2_I2,3,0.507,0.169,0.258,255
201702_C03_S2_I2,142,14.466,0.102,7.378,255
201702_C03_S2_I3,4,0.426,0.107,0.217,255
201702_C03_S2_I3,167,12.704,0.076,6.479,255
201702_C03_S3_I1,3,0.042,0.014,0.021,255
201702_C03_S3_I1,328,12.209,0.037,6.227,255
201702_C03_S3_I2,3,0.060,0.020,0.031,255
201702_C03_S3_I2,245,11.143,0.045,5.683,255
201702_C03_S3_I3,4,0.047,0.012,0.024,255
201702_C03_S3_I3,326,13.864,0.043,7.071,255
201702_C03_S4_I1,3,0.175,0.058,0.089,255
201702_C03_S4_I1,210,11.457,0.055,5.843,255
201702_C03_S4_I2,7,0.193,0.028,0.098,255
201702_C03_S4_I2,277,15.206,0.055,7.755,255
201702_C03_S4_I3,5,0.302,0.060,0.154,255
201702_C03_S4_I3,226,10.791,0.048,5.504,255
201702_C03_S5_I1,5,0.256,0.051,0.131,255
201702_C03_S5_I1,303,25.567,0.084,13.039,255
201702_C03_S5_I2,5,0.199,0.040,0.102,255
201702_C03_S5_I2,403,32.199,0.080,16.422,255
201702_C03_S5_I3,2,0.036,0.018,0.018,255
201702_C03_S5_I3,266,19.764,0.074,10.080,255
201702_C04_S1_I1,0,0.000,NaN,0.000,NaN
201702_C04_S1_I1,158,15.654,0.099,7.984,255
201702_C04_S1_I2,4,0.076,0.019,0.039,255
201702_C04_S1_I2,260,13.816,0.053,7.046,255
201702_C04_S1_I3,2,0.028,0.014,0.014,255
201702_C04_S1_I3,368,21.556,0.059,10.994,255
