Slice,Count,Total Area,Average Size,%Area,Mean
201702_C04_S2_I1,1,0.010,0.010,0.005,255
201702_C04_S2_I1,62,13.847,0.223,7.062,255
201702_C04_S2_I2,2,0.254,0.127,0.129,255
201702_C04_S2_I2,159,22.797,0.143,11.626,255
201702_C04_S2_I3,1,0.011,0.011,0.005,255
201702_C04_S2_I3,111,9.850,0.089,5.024,255
201702_C04_S3_I1,4,0.094,0.024,0.048,255
201702_C04_S3_I1,363,19.539,0.054,9.965,255
201702_C04_S3_I2,6,0.118,0.020,0.060,255
201702_C04_S3_I2,486,27.056,0.056,13.799,255
201702_C04_S3_I3,4,0.082,0.020,0.042,255
201702_C04_S3_I3,385,17.154,0.045,8.749,255
201702_C04_S4_I1,4,0.163,0.041,0.083,255
201702_C04_S4_I1,128,11.601,0.091,5.917,255
201702_C04_S4_I2,1,0.021,0.021,0.011,255
201702_C04_S4_I2,167,14.240,0.085,7.262,255
201702_C04_S4_I3,2,0.073,0.037,0.037,255
201702_C04_S4_I3,91,9.736,0.107,4.966,255
201702_C04_S5_I1,5,0.116,0.023,0.059,255
201702_C04_S5_I1,242,13.232,0.055,6.749,255
201702_C04_S5_I2,3,0.141,0.047,0.072,255
201702_C04_S5_I2,222,16.856,0.076,8.597,255
201702_C04_S5_I3,1,0.025,0.025,0.013,255
201702_C04_S5_I3,254,22.220,0.087,11.333,255
201702_C05_S1_I1,2,0.053,0.026,0.027,255
201702_C05_S1_I1,65,21.636,0.333,11.034,255
201702_C05_S1_I2,17,1.113,0.065,0.568,255
201702_C05_S1_I2,64,5.695,0.089,2.905,255
201702_C05_S1_I3,1,0.134,0.134,0.068,255
201702_C05_S1_I3,86,11.573,0.135,5.902,255
201702_C05_S2_I1,1,0.012,0.012,0.006,255
201702_C05_S2_I1,164,21.138,0.129,10.781,255
201702_C05_S2_I2,3,0.084,0.028,0.043,255
201702_C05_S2_I2,190,18.880,0.099,9.629,255
201702_C05_S2_I3,2,0.130,0.065,0.066,255
201702_C05_S2_I3,199,20.606,0.104,10.509,255
201702_C05_S3_I1,2,0.063,0.032,0.032,255
201702_C05_S3_I1,189,19.052,0.101,9.717,255
201702_C05_S3_I2,0,0.000,NaN,0.000,NaN
201702_C05_S3_I2,216,23.285,0.108,11.875,255
201702_C05_S3_I3,4,0.203,0.051,0.104,255
201702_C05_S3_I3,255,21.081,0.083,10.751,255
201702_C05_S4_I1,3,0.066,0.022,0.034,255
201702_C05_S4_I1,298,20.485,0.069,10.447,255
201702_C05_S4_I2,3,0.081,0.027,0.041,255
201702_C05_S4_I2,280,20.127,0.072,10.265,255
201702_C05_S4_I3,2,0.117,0.059,0.060,255
201702_C05_S4_I3,269,22.101,0.082,11.272,255
201702_C05_S5_I1,19,0.576,0.030,0.294,255
201702_C05_S5_I1,601,29.632,0.049,15.113,255
201702_C05_S5_I2,19,0.667,0.035,0.340,255
201702_C05_S5_I2,671,41.717,0.062,21.276,255
201702_C05_S5_I3,7,0.217,0.031,0.111,255
201702_C05_S5_I3,472,25.118,0.053,12.810,255
201702_C06_S1_I1,0,0.000,NaN,0.000,NaN
201702_C06_S1_I1,84,13.783,0.164,7.030,255
201702_C06_S1_I2,3,0.072,0.024,0.036,255
201702_C06_S1_I2,74,12.697,0.172,6.476,255
201702_C06_S1_I3,1,0.017,0.017,0.009,255
201702_C06_S1_I3,101,22.895,0.227,11.677,255
201702_C06_S2_I1,2,1.235,0.617,0.630,255
201702_C06_S2_I1,191,27.798,0.146,14.177,255
201702_C06_S2_I2,2,0.119,0.060,0.061,255
201702_C06_S2_I2,169,22.521,0.133,11.486,255
201702_C06_S2_I3,3,0.241,0.080,0.123,255
201702_C06_S2_I3,177,23.997,0.136,12.239,255
201702_C06_S3_I1,0,0.000,NaN,0.000,NaN
201702_C06_S3_I1,160,15.506,0.097,7.908,255
201702_C06_S3_I2,2,0.148,0.074,0.076,255
201702_C06_S3_I2,206,16.181,0.079,8.252,255
201702_C06_S3_I3,1,0.011,0.011,0.006,255
201702_C06_S3_I3,343,39.817,0.116,20.307,255
201702_C06_S4_I1,27,0.941,0.035,0.480,255
201702_C06_S4_I1,477,38.758,0.081,19.767,255
201702_C06_S4_I2,33,1.283,0.039,0.654,255
201702_C06_S4_I2,409,30.288,0.074,15.447,255
201702_C06_S4_I3,15,0.659,0.044,0.336,255
201702_C06_S4_I3,275,16.315,0.059,8.321,255
201702_C06_S5_I1,0,0.000,NaN,0.000,NaN
201702_C06_S5_I1,147,14.720,0.100,7.507,255
201702_C06_S5_I2,0,0.000,NaN,0.000,NaN
201702_C06_S5_I2,125,9.221,0.074,4.703,255
201702_C06_S5_I3,1,0.012,0.012,0.006,255
201702_C06_S5_I3,100,6.391,0.064,3.259,255
201702_C07_S1_I1,14,4.192,0.299,2.138,255
201702_C07_S1_I1,70,37.379,0.534,19.064,255
201702_C07_S1_I2,0,0.000,NaN,0.000,NaN
201702_C07_S1_I2,42,23.489,0.559,11.980,255
201702_C07_S1_I3,0,0.000,NaN,0.000,NaN
201702_C07_S1_I3,72,15.029,0.209,7.665,255
201702_C07_S2_I1,1,0.051,0.051,0.026,255
201702_C07_S2_I1,112,9.527,0.085,4.859,255
201702_C07_S2_I2,4,0.401,0.100,0.204,255
201702_C07_S2_I2,186,21.240,0.114,10.833,255
201702_C07_S2_I3,3,0.204,0.068,0.104,255
201702_C07_S2_I3,129,9.767,0.076,4.981,255
201702_C07_S3_I1,1,0.013,0.013,0.006,255
201702_C07_S3_I1,65,6.388,0.098,3.258,255
201702_C07_S3_I2,1,0.052,0.052,0.027,255
201702_C07_S3_I2,91,9.210,0.101,4.697,255
201702_C07_S3_I3,6,0.148,0.025,0.075,255
201702_C07_S3_I3,125,18.452,0.148,9.411,255
201702_C07_S4_I1,8,0.193,0.024,0.098,255
201702_C07_S4_I1,242,12.669,0.052,6.461,255
201702_C07_S4_I2,13,0.410,0.032,0.209,255
201702_C07_S4_I2,343,18.606,0.054,9.489,255
201702_C07_S4_I3,22,0.858,0.039,0.437,255
201702_C07_S4_I3,367,24.226,0.066,12.355,255
201702_C07_S5_I1,0,0.000,NaN,0.000,NaN
201702_C07_S5_I1,163,16.731,0.103,8.533,255
201702_C07_S5_I2,0,0.000,NaN,0.000,NaN
201702_C07_S5_I2,82,7.366,0.090,3.757,255
201702_C07_S5_I3,6,0.184,0.031,0.094,255
201702_C07_S5_I3,175,19.622,0.112,10.007,255
201702_C08_S1_I1,0,0.000,NaN,0.000,NaN
201702_C08_S1_I1,78,13.540,0.174,6.906,255
201702_C08_S1_I2,1,0.027,0.027,0.014,255
201702_C08_S1_I2,125,25.234,0.202,12.870,255
201702_C08_S1_I3,0,0.000,NaN,0.000,NaN
201702_C08_S1_I3,114,15.831,0.139,8.074,255
201702_C08_S2_I1,0,0.000,NaN,0.000,NaN
201702_C08_S2_I1,121,12.708,0.105,6.481,255
201702_C08_S2_I2,3,0.140,0.047,0.071,255
201702_C08_S2_I2,165,23.666,0.143,12.070,255
201702_C08_S2_I3,4,0.110,0.028,0.056,255
201702_C08_S2_I3,196,28.633,0.146,14.603,255
201702_C08_S3_I1,3,0.058,0.019,0.030,255
201702_C08_S3_I1,228,24.463,0.107,12.476,255
201702_C08_S3_I2,3,0.239,0.080,0.122,255
201702_C08_S3_I2,244,22.953,0.094,11.706,255
201702_C08_S3_I3,1,0.025,0.025,0.013,255
201702_C08_S3_I3,225,27.511,0.122,14.031,255
201702_C08_S4_I1,42,1.159,0.028,0.591,255
201702_C08_S4_I1,337,22.570,0.067,11.511,255
201702_C08_S4_I2,22,0.516,0.023,0.263,255
201702_C08_S4_I2,324,16.661,0.051,8.497,255
201702_C08_S4_I3,22,0.591,0.027,0.301,255
201702_C08_S4_I3,312,22.682,0.073,11.568,255
201702_C08_S5_I1,2,0.220,0.110,0.112,255
201702_C08_S5_I1,122,11.639,0.095,5.936,255
201702_C08_S5_I2,5,0.379,0.076,0.194,255
201702_C08_S5_I2,113,9.905,0.088,5.052,255
201702_C08_S5_I3,4,0.194,0.049,0.099,255
201702_C08_S5_I3,123,15.186,0.123,7.745,255
201702_C09_S1_I1,4,0.136,0.034,0.069,255
201702_C09_S1_I1,185,22.197,0.120,11.321,255
201702_C09_S1_I2,2,0.030,0.015,0.015,255
201702_C09_S1_I2,278,26.860,0.097,13.699,255
201702_C09_S1_I3,6,0.206,0.034,0.105,255
201702_C09_S1_I3,309,30.955,0.100,15.787,255
201702_C09_S2_I1,1,0.029,0.029,0.015,255
201702_C09_S2_I1,161,15.627,0.097,7.970,255
201702_C09_S2_I2,2,0.118,0.059,0.060,255
201702_C09_S2_I2,166,14.084,0.085,7.183,255
201702_C09_S2_I3,2,0.153,0.076,0.078,255
201702_C09_S2_I3,182,12.751,0.070,6.503,255
201702_C09_S3_I1,0,0.000,NaN,0.000,NaN
201702_C09_S3_I1,147,18.477,0.126,9.424,255
201702_C09_S3_I2,1,0.021,0.021,0.011,255
201702_C09_S3_I2,161,20.229,0.126,10.317,255
201702_C09_S3_I3,2,0.073,0.036,0.037,255
201702_C09_S3_I3,123,16.584,0.135,8.458,255
201702_C09_S4_I1,15,0.333,0.022,0.170,255
201702_C09_S4_I1,314,25.847,0.082,13.182,255
201702_C09_S4_I2,8,0.331,0.041,0.169,255
201702_C09_S4_I2,237,17.588,0.074,8.970,255
201702_C09_S4_I3,8,0.296,0.037,0.151,255
201702_C09_S4_I3,214,19.918,0.093,10.158,255
201702_C09_S5_I1,3,0.054,0.018,0.027,255
201702_C09_S5_I1,290,27.813,0.096,14.185,255
201702_C09_S5_I2,7,0.246,0.035,0.125,255
201702_C09_S5_I2,213,18.799,0.088,9.588,255
201702_C09_S5_I3,5,0.126,0.025,0.065,255
201702_C09_S5_I3,224,20.294,0.091,10.350,255
201702_C10_S1_I1,1,0.013,0.013,0.007,255
201702_C10_S1_I1,274,17.503,0.064,8.927,255
201702_C10_S1_I2,8,0.224,0.028,0.114,255
201702_C10_S1_I2,327,22.735,0.070,11.595,255
201702_C10_S1_I3,7,0.138,0.020,0.070,255
201702_C10_S1_I3,319,31.728,0.099,16.181,255
201702_C10_S2_I1,3,0.282,0.094,0.144,255
201702_C10_S2_I1,211,20.498,0.097,10.454,255
201702_C10_S2_I2,2,0.551,0.276,0.281,255
201702_C10_S2_I2,153,19.046,0.124,9.713,255
201702_C10_S2_I3,1,0.020,0.020,0.010,255
201702_C10_S2_I3,157,16.797,0.107,8.567,255
201702_C10_S3_I1,2,0.180,0.090,0.092,255
201702_C10_S3_I1,73,23.210,0.318,11.837,255
201702_C10_S3_I2,1,0.012,0.012,0.006,255
201702_C10_S3_I2,127,24.079,0.190,12.280,255
201702_C10_S3_I3,2,3.513,1.757,1.792,255
201702_C10_S3_I3,58,16.626,0.287,8.479,255
201702_C10_S4_I1,5,0.149,0.030,0.076,255
201702_C10_S4_I1,112,4.596,0.041,2.344,255
201702_C10_S4_I2,6,0.122,0.020,0.062,255
201702_C10_S4_I2,162,8.732,0.054,4.454,255
201702_C10_S4_I3,3,0.067,0.022,0.034,255
201702_C10_S4_I3,128,6.247,0.049,3.186,255
201702_C10_S5_I1,14,0.339,0.024,0.173,255
201702_C10_S5_I1,430,31.800,0.074,16.218,255
201702_C10_S5_I2,9,0.331,0.037,0.169,255
201702_C10_S5_I2,327,25.268,0.077,12.887,255
201702_C10_S5_I3,11,0.258,0.023,0.131,255
201702_C10_S5_I3,335,43.198,0.129,22.031,255
201702_C11_S1_I1,1,0.036,0.036,0.018,255
201702_C11_S1_I1,155,14.921,0.096,7.610,255
201702_C11_S1_I2,1,0.029,0.029,0.015,255
201702_C11_S1_I2,156,21.738,0.139,11.087,255
201702_C11_S1_I3,2,0.224,0.112,0.114,255
201702_C11_S1_I3,176,17.699,0.101,9.027,255
201702_C11_S2_I1,1,0.019,0.019,0.010,255
201702_C11_S2_I1,184,22.785,0.124,11.621,255
201702_C11_S2_I2,2,0.034,0.017,0.017,255
201702_C11_S2_I2,162,16.736,0.103,8.536,255
201702_C11_S2_I3,6,0.424,0.071,0.216,255
201702_C11_S2_I3,159,17.818,0.112,9.087,255
201702_C11_S3_I1,0,0.000,NaN,0.000,NaN
201702_C11_S3_I1,206,10.455,0.051,5.332,255
201702_C11_S3_I2,1,0.012,0.012,0.006,255
201702_C11_S3_I2,288,18.593,0.065,9.482,255
201702_C11_S3_I3,12,0.322,0.027,0.164,255
201702_C11_S3_I3,373,36.134,0.097,18.428,255
201702_C11_S4_I1,9,0.187,0.021,0.095,255
201702_C11_S4_I1,419,19.629,0.047,10.011,255
201702_C11_S4_I2,14,0.364,0.026,0.186,255
201702_C11_S4_I2,339,16.550,0.049,8.441,255
201702_C11_S4_I3,8,0.188,0.023,0.096,255
201702_C11_S4_I3,441,23.587,0.053,12.030,255
201702_C11_S5_I1,8,0.159,0.020,0.081,255
201702_C11_S5_I1,316,15.600,0.049,7.956,255
201702_C11_S5_I2,15,0.477,0.032,0.243,255
201702_C11_S5_I2,338,17.953,0.053,9.156,255
201702_C11_S5_I3,25,0.648,0.026,0.330,255
201702_C11_S5_I3,387,19.960,0.052,10.180,255
201702_T01_S1_I1,2,0.085,0.042,0.043,255
201702_T01_S1_I1,148,12.973,0.088,6.616,255
201702_T01_S1_I2,2,0.035,0.018,0.018,255
201702_T01_S1_I2,151,12.151,0.080,6.197,255
201702_T01_S1_I3,3,0.087,0.029,0.044,255
201702_T01_S1_I3,159,16.080,0.101,8.201,255
201702_T01_S2_I1,2,0.024,0.012,0.012,255
201702_T01_S2_I1,108,8.842,0.082,4.510,255
201702_T01_S2_I2,0,0.000,NaN,0.000,NaN
201702_T01_S2_I2,120,8.729,0.073,4.452,255
201702_T01_S2_I3,2,0.049,0.025,0.025,255
201702_T01_S2_I3,93,6.900,0.074,3.519,255
201702_T01_S3_I1,3,0.055,0.018,0.028,255
201702_T01_S3_I1,221,17.653,0.080,9.003,255
201702_T01_S3_I2,7,0.273,0.039,0.139,255
201702_T01_S3_I2,230,16.975,0.074,8.657,255
201702_T01_S3_I3,2,0.053,0.027,0.027,255
201702_T01_S3_I3,274,22.145,0.081,11.294,255
201702_T01_S4_I1,1,0.022,0.022,0.011,255
201702_T01_S4_I1,163,15.919,0.098,8.119,255
201702_T01_S4_I2,5,0.176,0.035,0.090,255
201702_T01_S4_I2,231,22.260,0.096,11.352,255
201702_T01_S4_I3,3,0.107,0.036,0.054,255
201702_T01_S4_I3,226,18.821,0.083,9.599,255
201702_T01_S5_I1,19,0.666,0.035,0.340,255
201702_T01_S5_I1,438,35.771,0.082,18.244,255
201702_T01_S5_I2,16,0.764,0.048,0.390,255
201702_T01_S5_I2,301,21.629,0.072,11.031,255
201702_T01_S5_I3,7,0.223,0.032,0.114,255
201702_T01_S5_I3,243,19.224,0.079,9.804,255
201702_T02_S1_I1,4,0.071,0.018,0.036,255
201702_T02_S1_I1,229,22.478,0.098,11.464,255
201702_T02_S1_I2,2,0.028,0.014,0.014,255
201702_T02_S1_I2,264,32.067,0.121,16.354,255
201702_T02_S1_I3,3,0.075,0.025,0.038,255
201702_T02_S1_I3,243,21.528,0.089,10.980,255
201702_T02_S2_I1,1,0.019,0.019,0.009,255
201702_T02_S2_I1,188,26.967,0.143,13.753,255
201702_T02_S2_I2,5,0.627,0.125,0.320,255
201702_T02_S2_I2,288,20.105,0.070,10.254,255
201702_T02_S2_I3,3,0.175,0.058,0.089,255
201702_T02_S2_I3,265,22.418,0.085,11.433,255
201702_T02_S3_I1,6,0.143,0.024,0.073,255
201702_T02_S3_I1,219,28.717,0.131,14.646,255
201702_T02_S3_I2,1,0.237,0.237,0.121,255
201702_T02_S3_I2,136,15.514,0.114,7.912,255
201702_T02_S3_I3,1,0.024,0.024,0.012,255
201702_T02_S3_I3,132,15.683,0.119,7.999,255
201702_T02_S4_I1,8,0.179,0.022,0.091,255
201702_T02_S4_I1,264,22.516,0.085,11.483,255
201702_T02_S4_I2,7,0.148,0.021,0.075,255
201702_T02_S4_I2,320,27.486,0.086,14.018,255
201702_T02_S4_I3,10,0.250,0.025,0.127,255
201702_T02_S4_I3,328,32.198,0.098,16.421,255
201702_T02_S5_I1,7,0.207,0.030,0.106,255
201702_T02_S5_I1,328,34.464,0.105,17.577,255
201702_T02_S5_I2,5,0.137,0.027,0.070,255
201702_T02_S5_I2,184,18.979,0.103,9.679,255
201702_T02_S5_I3,2,0.047,0.024,0.024,255
201702_T02_S5_I3,130,14.245,0.110,7.265,255
201702_T03_S1_I1,1,0.030,0.030,0.015,255
201702_T03_S1_I1,160,13.672,0.085,6.973,255
201702_T03_S1_I2,1,0.016,0.016,0.008,255
201702_T03_S1_I2,234,21.022,0.090,10.721,255
201702_T03_S1_I3,2,0.075,0.037,0.038,255
201702_T03_S1_I3,174,9.360,0.054,4.774,255
201702_T03_S2_I1,4,0.054,0.014,0.028,255
201702_T03_S2_I1,304,27.817,0.092,14.187,255
201702_T03_S2_I2,1,0.038,0.038,0.019,255
201702_T03_S2_I2,133,8.733,0.066,4.454,255
201702_T03_S2_I3,0,0.000,NaN,0.000,NaN
201702_T03_S2_I3,150,11.994,0.080,6.117,255
201702_T03_S3_I1,2,0.037,0.018,0.019,255
201702_T03_S3_I1,249,13.711,0.055,6.993,255
201702_T03_S3_I2,8,0.189,0.024,0.097,255
201702_T03_S3_I2,486,32.013,0.066,16.327,255
201702_T03_S3_I3,4,0.057,0.014,0.029,255
201702_T03_S3_I3,359,22.242,0.062,11.344,255
201702_T03_S4_I1,2,0.091,0.045,0.046,255
201702_T03_S4_I1,129,12.734,0.099,6.494,255
201702_T03_S4_I2,4,0.196,0.049,0.100,255
201702_T03_S4_I2,184,17.553,0.095,8.952,255
201702_T03_S4_I3,0,0.000,NaN,0.000,NaN
201702_T03_S4_I3,164,17.136,0.104,8.740,255
201702_T03_S5_I1,1,0.043,0.043,0.022,255
201702_T03_S5_I1,85,9.291,0.109,4.738,255
201702_T03_S5_I2,0,0.000,NaN,0.000,NaN
201702_T03_S5_I2,111,12.163,0.110,6.203,255
201702_T03_S5_I3,3,0.076,0.025,0.039,255
201702_T03_S5_I3,155,24.928,0.161,12.713,255
201702_T04_S1_I1,1,0.028,0.028,0.014,255
201702_T04_S1_I1,269,20.913,0.078,10.666,255
201702_T04_S1_I2,4,0.083,0.021,0.042,255
201702_T04_S1_I2,239,17.165,0.072,8.754,255
201702_T04_S1_I3,8,0.165,0.021,0.084,255
201702_T04_S1_I3,272,19.264,0.071,9.825,255
201702_T04_S2_I1,1,0.012,0.012,0.006,255
201702_T04_S2_I1,159,13.682,0.086,6.978,255
201702_T04_S2_I2,0,0.000,NaN,0.000,NaN
201702_T04_S2_I2,200,11.291,0.056,5.759,255
201702_T04_S2_I3,0,0.000,NaN,0.000,NaN
201702_T04_S2_I3,146,12.933,0.089,6.596,255
201702_T04_S3_I1,9,0.228,0.025,0.116,255
201702_T04_S3_I1,333,15.166,0.046,7.735,255
201702_T04_S3_I2,4,0.062,0.016,0.032,255
201702_T04_S3_I2,338,16.823,0.050,8.580,255
201702_T04_S3_I3,9,0.264,0.029,0.135,255
201702_T04_S3_I3,368,19.121,0.052,9.752,255
201702_T04_S4_I1,0,0.000,NaN,0.000,NaN
201702_T04_S4_I1,138,15.805,0.115,8.060,255
201702_T04_S4_I2,3,0.485,0.162,0.247,255
201702_T04_S4_I2,187,23.029,0.123,11.745,255
201702_T04_S4_I3,10,0.622,0.062,0.317,255
201702_T04_S4_I3,278,38.433,0.138,19.601,255
201702_T04_S5_I1,3,0.074,0.025,0.038,255
201702_T04_S5_I1,108,14.325,0.133,7.306,255
201702_T04_S5_I2,3,0.117,0.039,0.060,255
201702_T04_S5_I2,127,17.795,0.140,9.076,255
201702_T04_S5_I3,3,0.110,0.037,0.056,255
201702_T04_S5_I3,144,22.302,0.155,11.374,255
201702_T05_S1_I1,1,0.041,0.041,0.021,255
201702_T05_S1_I1,72,35.337,0.491,18.022,255
201702_T05_S1_I2,14,1.542,0.110,0.787,255
201702_T05_S1_I2,102,40.581,0.398,20.696,255
201702_T05_S1_I3,3,1.990,0.663,1.015,255
201702_T05_S1_I3,79,38.595,0.489,19.683,255
201702_T05_S2_I1,5,0.134,0.027,0.068,255
201702_T05_S2_I1,203,13.917,0.069,7.098,255
201702_T05_S2_I2,1,0.115,0.115,0.059,255
201702_T05_S2_I2,142,14.344,0.101,7.316,255
201702_T05_S2_I3,4,0.082,0.020,0.042,255
201702_T05_S2_I3,139,10.175,0.073,5.189,255
201702_T05_S3_I1,6,0.128,0.021,0.065,255
201702_T05_S3_I1,236,13.020,0.055,6.640,255
201702_T05_S3_I2,9,0.258,0.029,0.132,255
201702_T05_S3_I2,291,14.879,0.051,7.589,255
201702_T05_S3_I3,11,0.325,0.030,0.166,255
201702_T05_S3_I3,259,11.934,0.046,6.087,255
201702_T05_S4_I1,4,0.127,0.032,0.065,255
201702_T05_S4_I1,217,14.030,0.065,7.155,255
201702_T05_S4_I2,4,0.065,0.016,0.033,255
201702_T05_S4_I2,206,13.477,0.065,6.873,255
201702_T05_S4_I3,8,0.200,0.025,0.102,255
201702_T05_S4_I3,227,13.765,0.061,7.020,255
201702_T05_S5_I1,0,0.000,NaN,0.000,NaN
201702_T05_S5_I1,95,16.719,0.176,8.527,255
201702_T05_S5_I2,2,2.115,1.058,1.079,255
201702_T05_S5_I2,91,13.026,0.143,6.643,255
201702_T05_S5_I3,2,0.340,0.170,0.173,255
201702_T05_S5_I3,65,10.859,0.167,5.538,255
201702_T06_S1_I1,1,3.609,3.609,1.841,255
201702_T06_S1_I1,31,17.101,0.552,8.722,255
201702_T06_S1_I2,4,0.429,0.107,0.219,255
201702_T06_S1_I2,48,18.998,0.396,9.689,255
201702_T06_S1_I3,1,1.070,1.070,0.546,255
201702_T06_S1_I3,48,11.452,0.239,5.841,255
201702_T06_S2_I1,4,0.195,0.049,0.099,255
201702_T06_S2_I1,105,13.113,0.125,6.688,255
201702_T06_S2_I2,2,0.115,0.058,0.059,255
201702_T06_S2_I2,173,30.574,0.177,15.593,255
201702_T06_S2_I3,0,0.000,NaN,0.000,NaN
201702_T06_S2_I3,103,11.852,0.115,6.045,255
201702_T06_S3_I1,1,0.012,0.012,0.006,255
201702_T06_S3_I1,218,14.762,0.068,7.529,255
201702_T06_S3_I2,1,0.054,0.054,0.027,255
201702_T06_S3_I2,264,21.182,0.080,10.803,255
