 ,Area,Mean,Min,Max
1,0.011,255,255,255
2,0.025,255,255,255
3,0.014,255,255,255
4,0.037,255,255,255
5,0.018,255,255,255
6,0.055,255,255,255
7,0.124,255,255,255
8,0.163,255,255,255
9,0.111,255,255,255
10,0.102,255,255,255
11,0.109,255,255,255
12,0.064,255,255,255
13,0.227,255,255,255
14,0.045,255,255,255
15,0.048,255,255,255
16,1.407,255,255,255
17,0.046,255,255,255
18,0.023,255,255,255
19,0.030,255,255,255
20,0.067,255,255,255
21,0.066,255,255,255
22,0.069,255,255,255
23,0.045,255,255,255
24,0.192,255,255,255
25,0.093,255,255,255
26,0.045,255,255,255
27,0.059,255,255,255
28,0.258,255,255,255
29,0.027,255,255,255
30,0.072,255,255,255
31,0.100,255,255,255
32,0.172,255,255,255
33,0.029,255,255,255
34,0.058,255,255,255
35,0.081,255,255,255
36,0.234,255,255,255
37,0.021,255,255,255
38,0.066,255,255,255
39,0.349,255,255,255
40,0.073,255,255,255
41,0.040,255,255,255
42,0.057,255,255,255
43,0.052,255,255,255
44,0.083,255,255,255
45,0.097,255,255,255
46,0.170,255,255,255
47,0.118,255,255,255
48,0.048,255,255,255
49,0.127,255,255,255
50,0.054,255,255,255
51,0.214,255,255,255
52,0.037,255,255,255
53,0.111,255,255,255
54,0.070,255,255,255
55,0.252,255,255,255
56,0.046,255,255,255
57,0.314,255,255,255
58,0.061,255,255,255
59,0.044,255,255,255
60,0.058,255,255,255
61,0.175,255,255,255
62,0.317,255,255,255
63,0.152,255,255,255
64,0.084,255,255,255
65,0.180,255,255,255
66,0.087,255,255,255
67,0.077,255,255,255
68,0.034,255,255,255
69,0.193,255,255,255
70,0.046,255,255,255
71,0.217,255,255,255
72,0.230,255,255,255
73,0.075,255,255,255
74,0.092,255,255,255
75,0.052,255,255,255
76,0.133,255,255,255
77,0.054,255,255,255
78,0.122,255,255,255
79,0.060,255,255,255
80,0.045,255,255,255
81,0.072,255,255,255
82,0.136,255,255,255
83,0.055,255,255,255
84,0.042,255,255,255
85,0.044,255,255,255
86,0.148,255,255,255
87,0.075,255,255,255
88,0.179,255,255,255
89,0.057,255,255,255
90,0.133,255,255,255
91,0.051,255,255,255
92,0.052,255,255,255
93,0.199,255,255,255
94,0.075,255,255,255
95,0.259,255,255,255
96,0.187,255,255,255
97,0.052,255,255,255
98,0.043,255,255,255
99,0.040,255,255,255
100,0.075,255,255,255
101,0.060,255,255,255
102,0.014,255,255,255
