 ,Area,Mean,Min,Max
1,0.016,255,255,255
2,0.019,255,255,255
3,0.017,255,255,255
4,0.010,255,255,255
5,0.015,255,255,255
6,0.022,255,255,255
7,0.052,255,255,255
8,0.026,255,255,255
9,0.016,255,255,255
10,0.183,255,255,255
11,0.025,255,255,255
12,0.019,255,255,255
13,0.352,255,255,255
14,0.134,255,255,255
15,0.180,255,255,255
16,0.148,255,255,255
17,0.034,255,255,255
18,0.523,255,255,255
19,0.180,255,255,255
20,0.170,255,255,255
21,0.195,255,255,255
22,0.036,255,255,255
23,0.060,255,255,255
24,0.042,255,255,255
25,0.038,255,255,255
26,1.987,255,255,255
27,0.038,255,255,255
28,0.100,255,255,255
29,0.056,255,255,255
30,0.042,255,255,255
31,0.047,255,255,255
32,0.158,255,255,255
33,0.065,255,255,255
34,0.041,255,255,255
35,0.062,255,255,255
36,1.453,255,255,255
37,0.035,255,255,255
38,0.058,255,255,255
39,0.259,255,255,255
40,0.010,255,255,255
41,0.193,255,255,255
42,0.087,255,255,255
43,0.066,255,255,255
44,0.169,255,255,255
45,1.635,255,255,255
46,0.059,255,255,255
47,0.035,255,255,255
48,0.062,255,255,255
49,0.039,255,255,255
50,0.106,255,255,255
51,6.449,255,255,255
52,0.141,255,255,255
53,0.053,255,255,255
54,0.028,255,255,255
55,0.058,255,255,255
56,0.121,255,255,255
57,0.432,255,255,255
58,0.073,255,255,255
59,3.682,255,255,255
60,0.207,255,255,255
61,0.240,255,255,255
62,0.024,255,255,255
63,0.391,255,255,255
64,0.064,255,255,255
65,0.039,255,255,255
66,0.206,255,255,255
67,0.128,255,255,255
68,0.047,255,255,255
69,0.026,255,255,255
70,0.187,255,255,255
71,0.066,255,255,255
72,0.094,255,255,255
73,0.330,255,255,255
74,0.049,255,255,255
75,0.150,255,255,255
76,0.041,255,255,255
77,0.128,255,255,255
78,0.038,255,255,255
79,0.259,255,255,255
80,0.040,255,255,255
81,1.057,255,255,255
82,0.406,255,255,255
83,0.769,255,255,255
84,0.156,255,255,255
85,0.270,255,255,255
86,0.081,255,255,255
87,0.341,255,255,255
88,0.036,255,255,255
89,0.067,255,255,255
90,0.089,255,255,255
91,0.028,255,255,255
92,0.110,255,255,255
93,0.025,255,255,255
94,0.333,255,255,255
95,0.041,255,255,255
96,0.244,255,255,255
97,0.036,255,255,255
98,0.069,255,255,255
99,0.065,255,255,255
100,0.038,255,255,255
101,0.217,255,255,255
102,0.055,255,255,255
103,0.011,255,255,255
104,0.481,255,255,255
105,0.092,255,255,255
106,0.064,255,255,255
107,0.110,255,255,255
108,0.034,255,255,255
109,0.039,255,255,255
110,0.042,255,255,255
111,0.037,255,255,255
112,0.105,255,255,255
113,0.024,255,255,255
114,0.274,255,255,255
115,0.083,255,255,255
116,0.198,255,255,255
117,0.088,255,255,255
118,0.162,255,255,255
119,0.036,255,255,255
120,0.190,255,255,255
121,0.040,255,255,255
122,0.090,255,255,255
123,0.118,255,255,255
124,0.043,255,255,255
125,0.039,255,255,255
126,0.369,255,255,255
127,0.019,255,255,255
128,0.472,255,255,255
129,0.028,255,255,255
130,0.123,255,255,255
131,0.052,255,255,255
132,0.084,255,255,255
133,0.039,255,255,255
134,0.047,255,255,255
135,0.083,255,255,255
136,0.050,255,255,255
137,0.118,255,255,255
138,0.013,255,255,255
139,0.107,255,255,255
140,0.042,255,255,255
141,0.014,255,255,255
142,0.294,255,255,255
143,0.167,255,255,255
144,0.192,255,255,255
145,0.040,255,255,255
146,0.049,255,255,255
147,0.038,255,255,255
148,0.044,255,255,255
149,0.184,255,255,255
150,0.122,255,255,255
151,0.372,255,255,255
152,0.109,255,255,255
153,0.013,255,255,255
154,0.036,255,255,255
155,0.108,255,255,255
156,0.064,255,255,255
157,0.233,255,255,255
158,0.413,255,255,255
159,0.014,255,255,255
160,0.167,255,255,255
161,0.158,255,255,255
162,0.043,255,255,255
163,0.157,255,255,255
164,0.186,255,255,255
165,0.049,255,255,255
166,0.062,255,255,255
167,0.111,255,255,255
168,0.078,255,255,255
169,0.041,255,255,255
170,0.166,255,255,255
171,2.715,255,255,255
172,0.075,255,255,255
173,0.068,255,255,255
174,0.281,255,255,255
175,0.305,255,255,255
176,0.106,255,255,255
177,0.043,255,255,255
178,0.046,255,255,255
179,0.345,255,255,255
180,0.652,255,255,255
181,0.037,255,255,255
182,0.023,255,255,255
183,0.041,255,255,255
184,0.134,255,255,255
185,0.091,255,255,255
186,0.810,255,255,255
187,0.068,255,255,255
188,0.041,255,255,255
189,0.024,255,255,255
190,0.038,255,255,255
191,0.366,255,255,255
192,0.054,255,255,255
193,0.096,255,255,255
194,0.095,255,255,255
195,0.082,255,255,255
196,0.037,255,255,255
197,0.028,255,255,255
198,0.021,255,255,255
199,0.107,255,255,255
200,0.194,255,255,255
201,0.068,255,255,255
202,0.179,255,255,255
203,6.081,255,255,255
204,0.047,255,255,255
205,0.131,255,255,255
206,0.443,255,255,255
207,0.070,255,255,255
208,0.049,255,255,255
209,0.198,255,255,255
210,0.031,255,255,255
211,0.632,255,255,255
212,0.085,255,255,255
213,0.031,255,255,255
214,0.073,255,255,255
215,0.031,255,255,255
216,0.043,255,255,255
217,0.043,255,255,255
218,0.042,255,255,255
219,3.478,255,255,255
220,0.105,255,255,255
221,0.165,255,255,255
222,0.038,255,255,255
223,0.206,255,255,255
224,0.029,255,255,255
225,0.098,255,255,255
226,0.119,255,255,255
227,0.110,255,255,255
228,0.068,255,255,255
229,0.079,255,255,255
230,0.090,255,255,255
231,0.064,255,255,255
232,0.052,255,255,255
233,0.190,255,255,255
234,0.025,255,255,255
235,0.069,255,255,255
236,0.221,255,255,255
237,0.060,255,255,255
238,0.010,255,255,255
239,0.046,255,255,255
240,0.088,255,255,255
241,0.045,255,255,255
242,0.065,255,255,255
243,0.039,255,255,255
244,0.048,255,255,255
245,0.049,255,255,255
246,0.150,255,255,255
247,0.073,255,255,255
248,0.143,255,255,255
249,0.042,255,255,255
250,0.019,255,255,255
251,0.123,255,255,255
252,0.210,255,255,255
253,0.146,255,255,255
254,0.522,255,255,255
255,0.011,255,255,255
256,0.045,255,255,255
257,1.793,255,255,255
258,0.031,255,255,255
259,0.077,255,255,255
260,0.195,255,255,255
261,0.046,255,255,255
262,0.040,255,255,255
263,0.423,255,255,255
264,0.290,255,255,255
265,0.032,255,255,255
266,0.107,255,255,255
267,0.051,255,255,255
268,0.090,255,255,255
269,0.081,255,255,255
270,0.060,255,255,255
271,0.043,255,255,255
272,0.083,255,255,255
273,0.427,255,255,255
274,0.231,255,255,255
275,0.085,255,255,255
276,0.050,255,255,255
277,0.013,255,255,255
278,0.012,255,255,255
279,0.012,255,255,255
280,0.034,255,255,255
281,0.033,255,255,255
282,0.024,255,255,255
283,0.044,255,255,255
284,0.017,255,255,255
285,0.020,255,255,255
286,0.026,255,255,255
287,0.012,255,255,255
288,0.032,255,255,255
289,0.016,255,255,255
290,1.057,255,255,255
291,0.073,255,255,255
292,0.305,255,255,255
293,0.295,255,255,255
294,0.082,255,255,255
295,0.228,255,255,255
296,0.090,255,255,255
297,0.200,255,255,255
298,0.179,255,255,255
299,0.167,255,255,255
300,1.157,255,255,255
301,0.033,255,255,255
302,0.496,255,255,255
303,0.096,255,255,255
304,0.045,255,255,255
305,0.137,255,255,255
306,0.932,255,255,255
307,0.041,255,255,255
308,0.540,255,255,255
309,0.085,255,255,255
310,0.490,255,255,255
311,0.121,255,255,255
312,0.015,255,255,255
313,1.004,255,255,255
314,0.051,255,255,255
315,0.020,255,255,255
316,0.155,255,255,255
317,0.036,255,255,255
318,0.065,255,255,255
319,0.109,255,255,255
320,0.018,255,255,255
321,0.051,255,255,255
322,0.045,255,255,255
323,0.161,255,255,255
324,0.077,255,255,255
325,0.101,255,255,255
326,0.043,255,255,255
327,0.093,255,255,255
328,0.372,255,255,255
329,1.878,255,255,255
330,0.220,255,255,255
331,0.702,255,255,255
332,0.896,255,255,255
333,0.090,255,255,255
334,0.076,255,255,255
335,0.027,255,255,255
336,0.150,255,255,255
337,0.141,255,255,255
338,0.035,255,255,255
339,0.142,255,255,255
340,0.176,255,255,255
341,0.401,255,255,255
342,0.051,255,255,255
343,0.018,255,255,255
344,0.201,255,255,255
345,0.037,255,255,255
346,0.068,255,255,255
347,0.021,255,255,255
348,0.183,255,255,255
349,0.170,255,255,255
