 ,Area,Mean,Min,Max
266,0.141,255,255,255
267,0.297,255,255,255
268,0.194,255,255,255
269,0.390,255,255,255
270,0.031,255,255,255
271,0.088,255,255,255
272,0.094,255,255,255
273,0.202,255,255,255
274,1.154,255,255,255
275,0.016,255,255,255
276,0.018,255,255,255
277,0.420,255,255,255
278,0.088,255,255,255
279,0.012,255,255,255
280,0.055,255,255,255
281,0.455,255,255,255
282,0.042,255,255,255
283,0.058,255,255,255
284,0.260,255,255,255
285,0.054,255,255,255
286,0.066,255,255,255
287,0.224,255,255,255
288,0.109,255,255,255
289,0.486,255,255,255
290,0.034,255,255,255
291,0.049,255,255,255
292,0.203,255,255,255
293,0.164,255,255,255
294,0.412,255,255,255
295,0.108,255,255,255
296,0.672,255,255,255
297,0.056,255,255,255
298,0.150,255,255,255
299,0.016,255,255,255
300,0.798,255,255,255
301,0.121,255,255,255
302,0.045,255,255,255
303,0.020,255,255,255
304,0.703,255,255,255
305,0.034,255,255,255
306,0.088,255,255,255
307,0.343,255,255,255
308,0.017,255,255,255
309,0.237,255,255,255
310,0.215,255,255,255
311,0.092,255,255,255
312,0.060,255,255,255
313,0.398,255,255,255
314,0.185,255,255,255
315,0.076,255,255,255
316,0.085,255,255,255
317,0.698,255,255,255
318,0.101,255,255,255
319,0.228,255,255,255
320,0.231,255,255,255
321,0.013,255,255,255
322,0.242,255,255,255
323,0.201,255,255,255
324,0.677,255,255,255
325,0.065,255,255,255
326,0.147,255,255,255
327,0.722,255,255,255
328,0.202,255,255,255
329,0.046,255,255,255
330,2.815,255,255,255
331,0.063,255,255,255
332,0.016,255,255,255
333,0.082,255,255,255
334,0.718,255,255,255
335,0.083,255,255,255
336,1.102,255,255,255
337,0.044,255,255,255
338,0.076,255,255,255
339,0.380,255,255,255
340,0.024,255,255,255
341,0.150,255,255,255
342,0.271,255,255,255
343,0.080,255,255,255
344,0.345,255,255,255
345,0.843,255,255,255
346,0.086,255,255,255
347,0.109,255,255,255
348,0.336,255,255,255
349,0.054,255,255,255
350,0.175,255,255,255
351,0.070,255,255,255
352,0.144,255,255,255
353,1.649,255,255,255
354,2.217,255,255,255
355,0.090,255,255,255
356,0.144,255,255,255
357,1.367,255,255,255
358,0.574,255,255,255
359,0.094,255,255,255
360,0.127,255,255,255
361,0.012,255,255,255
362,0.065,255,255,255
363,0.188,255,255,255
364,0.104,255,255,255
365,0.054,255,255,255
366,0.025,255,255,255
367,0.052,255,255,255
368,0.085,255,255,255
369,0.041,255,255,255
370,0.056,255,255,255
371,0.123,255,255,255
372,0.050,255,255,255
373,2.201,255,255,255
374,0.810,255,255,255
375,0.106,255,255,255
376,0.023,255,255,255
377,0.084,255,255,255
378,0.032,255,255,255
379,0.136,255,255,255
380,0.052,255,255,255
381,0.150,255,255,255
382,0.052,255,255,255
383,0.564,255,255,255
384,0.061,255,255,255
385,0.138,255,255,255
386,0.109,255,255,255
387,0.140,255,255,255
388,0.055,255,255,255
389,0.192,255,255,255
390,0.114,255,255,255
391,0.196,255,255,255
392,0.083,255,255,255
393,0.034,255,255,255
394,0.495,255,255,255
395,0.207,255,255,255
396,0.085,255,255,255
397,0.137,255,255,255
398,0.726,255,255,255
399,0.129,255,255,255
400,0.104,255,255,255
401,0.090,255,255,255
402,0.109,255,255,255
403,0.094,255,255,255
404,0.082,255,255,255
405,0.057,255,255,255
406,0.114,255,255,255
407,0.239,255,255,255
408,0.511,255,255,255
409,0.138,255,255,255
410,0.067,255,255,255
411,0.089,255,255,255
412,0.050,255,255,255
413,0.152,255,255,255
414,0.034,255,255,255
415,0.047,255,255,255
416,0.032,255,255,255
417,0.043,255,255,255
418,0.025,255,255,255
419,0.026,255,255,255
420,0.115,255,255,255
421,0.013,255,255,255
422,0.020,255,255,255
423,0.030,255,255,255
424,0.521,255,255,255
425,0.021,255,255,255
426,0.047,255,255,255
427,0.068,255,255,255
428,0.165,255,255,255
429,0.328,255,255,255
430,0.078,255,255,255
431,0.082,255,255,255
432,0.043,255,255,255
433,0.132,255,255,255
434,1.033,255,255,255
435,0.088,255,255,255
436,0.089,255,255,255
437,0.249,255,255,255
438,0.186,255,255,255
439,0.024,255,255,255
440,0.085,255,255,255
441,0.101,255,255,255
442,0.175,255,255,255
443,0.374,255,255,255
444,0.119,255,255,255
445,0.082,255,255,255
446,0.020,255,255,255
447,0.027,255,255,255
448,0.266,255,255,255
449,0.099,255,255,255
450,0.067,255,255,255
451,0.140,255,255,255
452,0.070,255,255,255
453,0.213,255,255,255
454,0.213,255,255,255
455,0.488,255,255,255
456,0.099,255,255,255
457,0.048,255,255,255
458,0.038,255,255,255
459,0.083,255,255,255
460,0.024,255,255,255
461,0.159,255,255,255
462,0.053,255,255,255
463,0.316,255,255,255
464,0.215,255,255,255
465,0.207,255,255,255
466,0.163,255,255,255
467,0.059,255,255,255
468,0.093,255,255,255
469,0.092,255,255,255
470,0.078,255,255,255
471,0.066,255,255,255
472,0.135,255,255,255
473,0.450,255,255,255
474,0.219,255,255,255
475,0.243,255,255,255
476,0.076,255,255,255
477,0.968,255,255,255
478,0.024,255,255,255
479,0.010,255,255,255
480,0.350,255,255,255
481,0.167,255,255,255
482,0.208,255,255,255
483,0.138,255,255,255
484,0.030,255,255,255
485,0.123,255,255,255
486,0.763,255,255,255
487,0.240,255,255,255
488,0.095,255,255,255
489,0.114,255,255,255
490,0.093,255,255,255
491,0.324,255,255,255
492,0.137,255,255,255
493,0.124,255,255,255
494,1.364,255,255,255
495,0.074,255,255,255
496,0.111,255,255,255
497,0.102,255,255,255
498,0.275,255,255,255
499,0.243,255,255,255
500,0.094,255,255,255
501,0.356,255,255,255
502,0.405,255,255,255
503,0.160,255,255,255
504,0.069,255,255,255
505,0.461,255,255,255
506,0.099,255,255,255
507,0.147,255,255,255
508,0.129,255,255,255
509,0.065,255,255,255
510,2.043,255,255,255
511,0.062,255,255,255
512,0.338,255,255,255
513,0.039,255,255,255
514,0.026,255,255,255
515,3.489,255,255,255
516,0.792,255,255,255
517,0.728,255,255,255
518,0.177,255,255,255
519,0.078,255,255,255
520,0.115,255,255,255
521,0.100,255,255,255
522,0.104,255,255,255
523,0.062,255,255,255
524,0.173,255,255,255
525,0.550,255,255,255
526,0.118,255,255,255
527,0.612,255,255,255
528,0.064,255,255,255
529,0.061,255,255,255
530,0.085,255,255,255
531,0.021,255,255,255
532,0.103,255,255,255
533,0.102,255,255,255
534,0.025,255,255,255
535,0.090,255,255,255
536,0.084,255,255,255
537,1.069,255,255,255
538,0.050,255,255,255
539,0.282,255,255,255
540,0.010,255,255,255
541,3.007,255,255,255
542,0.039,255,255,255
543,0.012,255,255,255
544,0.441,255,255,255
545,0.052,255,255,255
546,0.098,255,255,255
547,0.363,255,255,255
548,0.320,255,255,255
549,0.194,255,255,255
550,0.667,255,255,255
551,0.654,255,255,255
552,0.161,255,255,255
553,0.289,255,255,255
554,0.109,255,255,255
555,0.026,255,255,255
556,0.129,255,255,255
557,0.314,255,255,255
558,1.586,255,255,255
559,0.072,255,255,255
560,0.070,255,255,255
561,0.203,255,255,255
562,0.013,255,255,255
563,0.387,255,255,255
564,0.379,255,255,255
565,0.158,255,255,255
566,2.350,255,255,255
567,1.467,255,255,255
568,0.105,255,255,255
569,0.188,255,255,255
570,0.056,255,255,255
571,0.180,255,255,255
572,0.250,255,255,255
573,0.081,255,255,255
574,0.188,255,255,255
575,0.102,255,255,255
576,0.038,255,255,255
577,0.198,255,255,255
578,0.031,255,255,255
579,0.088,255,255,255
580,0.865,255,255,255
581,0.045,255,255,255
582,0.088,255,255,255
583,0.048,255,255,255
584,0.087,255,255,255
585,0.067,255,255,255
586,0.115,255,255,255
587,0.063,255,255,255
588,0.070,255,255,255
589,0.012,255,255,255
590,0.138,255,255,255
591,0.107,255,255,255
592,0.104,255,255,255
593,0.081,255,255,255
594,0.125,255,255,255
595,0.038,255,255,255
596,0.023,255,255,255
597,0.020,255,255,255
598,0.039,255,255,255
599,0.159,255,255,255
600,0.013,255,255,255
601,0.021,255,255,255
602,0.167,255,255,255
603,0.036,255,255,255
604,0.012,255,255,255
605,0.010,255,255,255
606,0.013,255,255,255
607,0.037,255,255,255
608,0.016,255,255,255
609,0.047,255,255,255
610,0.014,255,255,255
611,0.018,255,255,255
612,0.030,255,255,255
613,0.011,255,255,255
614,0.185,255,255,255
615,0.557,255,255,255
616,0.030,255,255,255
617,0.023,255,255,255
618,0.085,255,255,255
619,0.195,255,255,255
620,0.054,255,255,255
621,0.154,255,255,255
622,0.050,255,255,255
623,0.080,255,255,255
624,0.191,255,255,255
625,0.205,255,255,255
626,0.084,255,255,255
627,0.253,255,255,255
628,0.067,255,255,255
629,0.081,255,255,255
630,0.343,255,255,255
631,0.015,255,255,255
632,0.103,255,255,255
633,0.041,255,255,255
634,0.148,255,255,255
635,0.233,255,255,255
636,0.094,255,255,255
637,0.066,255,255,255
638,0.049,255,255,255
639,0.146,255,255,255
640,0.157,255,255,255
641,0.534,255,255,255
642,0.094,255,255,255
643,0.072,255,255,255
644,0.307,255,255,255
645,0.073,255,255,255
646,0.083,255,255,255
647,0.038,255,255,255
648,0.083,255,255,255
649,0.020,255,255,255
650,0.176,255,255,255
651,0.188,255,255,255
652,0.071,255,255,255
653,0.018,255,255,255
654,0.109,255,255,255
655,0.071,255,255,255
656,0.032,255,255,255
657,0.187,255,255,255
658,0.194,255,255,255
659,0.115,255,255,255
660,0.056,255,255,255
661,0.207,255,255,255
662,0.097,255,255,255
663,0.016,255,255,255
664,0.068,255,255,255
