control,C3,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
control,C2,S1,201407,5.376,8.526,14.398,16.717,19.105,7.695,9.345,6.957,8.341,3.369,0.162,0.000,0.012
control,C2,S2,201407,0.555,1.182,3.440,8.133,21.766,12.558,17.126,13.651,15.442,5.804,0.305,0.018,0.018
control,C2,S3,201407,0.015,0.232,0.957,2.624,8.320,6.730,13.554,16.085,30.550,17.860,2.563,0.494,0.015
control,C2,S4,201407,0.000,0.113,0.488,3.190,19.478,16.382,21.674,15.838,15.763,6.211,0.732,0.113,0.019
control,C2,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
control,C1,S1,201407,5.790,9.473,15.945,18.611,18.586,7.229,8.667,6.336,7.154,2.083,0.099,0.012,0.012
control,C1,S2,201407,1.716,2.665,6.696,29.630,10.027,14.440,10.526,15.923,6.546,1.382,0.433,0.017,0.000
control,C1,S3,201407,0.238,0.313,1.221,15.515,10.423,19.684,17.183,24.509,8.964,1.578,0.357,0.015,0.000
control,C1,S4,201407,5.206,6.418,9.378,0.000,17.953,8.941,9.993,8.272,9.806,7.657,5.919,5.357,5.090
control,C1,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
treatment,T1,S1,201407,38.893,20.055,16.578,11.294,6.783,1.409,1.295,1.182,1.557,0.864,0.068,0.011,0.011
treatment,T1,S2,201407,2.398,3.238,8.418,16.731,30.154,11.971,11.183,6.860,6.510,2.293,0.210,0.018,0.018
treatment,T1,S3,201407,0.163,0.082,0.735,3.840,19.742,14.986,16.359,13.940,18.238,10.704,0.997,0.196,0.016
treatment,T1,S4,201407,6.295,1.989,1.814,4.330,14.135,10.894,16.183,14.732,15.329,7.290,5.628,1.369,0.012
treatment,T1,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
treatment,T2,S1,201407,44.824,27.576,15.072,5.205,2.662,0.615,1.171,0.438,1.100,0.674,0.497,0.118,0.047
treatment,T2,S2,201407,4.682,12.416,24.215,24.949,21.441,5.254,3.874,1.438,0.939,0.426,0.220,0.103,0.044
treatment,T2,S3,201407,2.768,3.540,4.068,5.631,25.443,16.064,18.795,10.603,10.019,2.976,0.056,0.019,0.019
treatment,T2,S4,201407,0.696,0.458,1.393,3.711,10.795,9.024,17.192,17.501,23.550,10.994,3.701,0.915,0.070
treatment,T2,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
treatment,T3,S1,201407,20.138,42.375,22.561,8.263,3.699,0.627,0.887,0.606,0.584,0.195,0.022,0.022,0.022
treatment,T3,S2,201407,2.226,4.844,13.224,20.352,26.680,9.936,9.572,6.095,5.601,1.309,0.131,0.015,0.015
treatment,T3,S3,201407,0.884,1.828,2.491,5.685,15.026,10.346,17.176,16.010,21.776,8.035,0.663,0.060,0.020
treatment,T3,S4,201407,0.815,0.769,3.111,9.458,28.673,18.526,18.790,10.950,6.990,1.412,0.344,0.103,0.057
treatment,T3,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
treatment,T4,S1,201407,28.909,19.147,14.240,10.335,14.580,5.284,4.102,1.702,1.254,0.340,0.072,0.018,0.018
treatment,T4,S2,201407,1.240,4.652,10.369,21.263,32.274,10.617,9.246,4.725,4.463,1.108,0.015,0.015,0.015
treatment,T4,S3,201407,0.269,1.021,4.154,11.173,29.364,13.178,13.339,9.776,11.907,5.389,0.394,0.018,0.018
treatment,T4,S4,201407,3.655,5.142,6.414,8.827,17.410,11.444,16.911,12.859,12.564,3.940,0.621,0.122,0.092
treatment,T4,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
treatment,T5,S1,201407,26.247,38.001,24.263,5.858,2.060,0.642,0.813,0.661,0.983,0.397,0.038,0.019,0.019
treatment,T5,S2,201407,1.583,6.681,16.775,24.935,24.987,7.551,7.006,3.918,4.632,1.803,0.104,0.013,0.013
treatment,T5,S3,201407,1.453,1.503,5.443,10.853,27.116,14.861,14.259,9.551,9.835,4.492,0.501,0.117,0.017
treatment,T5,S4,201407,2.743,7.081,9.964,11.457,21.855,11.202,13.766,9.569,9.097,2.475,0.587,0.179,0.026
treatment,T5,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
treatment,T6,S1,201407,34.976,42.239,20.132,1.881,0.433,0.113,0.151,0.038,0.019,0.019,0.000,0.000,0.000
treatment,T6,S2,201407,6.502,14.767,24.202,19.723,13.351,4.783,5.982,4.132,4.725,1.633,0.116,0.072,0.014
treatment,T6,S3,201407,1.648,1.835,5.412,11.273,28.502,15.637,16.854,10.037,7.509,1.161,0.094,0.019,0.019
treatment,T6,S4,201407,0.705,0.937,1.873,3.273,11.607,10.155,16.321,16.711,21.677,10.975,4.725,1.021,0.021
treatment,T6,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
treatment,T7,S1,201407,27.028,43.586,23.649,4.575,0.510,0.088,0.123,0.194,0.158,0.035,0.018,0.018,0.018
treatment,T7,S2,201407,3.651,13.210,19.979,15.656,13.297,5.667,6.803,5.977,8.870,6.166,0.689,0.017,0.017
treatment,T7,S3,201407,0.348,1.725,6.280,13.484,29.131,13.030,11.350,8.354,9.731,6.038,0.484,0.015,0.030
treatment,T7,S4,201407,0.017,0.156,1.593,4.675,19.688,11.030,14.199,13.541,19.758,13.576,1.732,0.017,0.017
treatment,T7,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
treatment,T8,S1,201407,32.934,27.974,22.797,10.224,3.590,0.375,0.779,0.303,0.880,0.101,0.014,0.014,0.014
treatment,T8,S2,201407,0.893,3.145,13.183,26.188,32.422,8.514,8.020,3.076,3.255,0.700,0.371,0.220,0.014
treatment,T8,S3,201407,0.000,1.076,4.202,12.688,30.938,15.895,16.058,9.602,7.389,1.929,0.183,0.020,0.020
treatment,T8,S4,201407,2.121,6.133,10.007,12.853,20.914,11.155,13.891,10.659,9.401,2.506,0.275,0.064,0.018
treatment,T8,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
treatment,T9,S1,201407,9.164,7.904,15.249,20.719,25.558,9.064,6.930,2.763,2.105,0.444,0.029,0.072,0.000
treatment,T9,S2,201407,17.080,21.146,25.102,14.325,9.468,3.383,3.138,2.347,2.483,1.146,0.191,0.055,0.136
treatment,T9,S3,201407,0.204,0.148,0.741,4.356,25.839,19.036,22.873,14.328,8.285,4.041,0.111,0.019,0.019
treatment,T9,S4,201407,0.316,0.891,3.903,10.808,29.621,16.235,16.716,9.952,8.440,2.145,0.727,0.234,0.012
treatment,T9,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
treatment,T10,S1,201407,2.498,6.812,16.932,20.281,17.812,6.443,7.210,6.316,9.211,5.989,0.468,0.014,0.014
treatment,T10,S2,201407,3.583,6.622,12.398,14.363,15.724,6.713,9.011,8.815,13.018,8.558,1.028,0.151,0.015
treatment,T10,S3,201407,0.284,0.458,2.116,4.801,10.565,6.680,9.934,10.881,21.336,25.884,6.507,0.474,0.079
treatment,T10,S4,201407,6.274,11.967,14.197,14.954,20.533,8.618,8.701,6.222,5.921,2.157,0.373,0.073,0.010
treatment,T10,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
treatment,T11,S1,201407,19.545,28.519,24.476,7.684,4.627,2.216,3.422,2.764,4.213,2.241,0.207,0.061,0.024
treatment,T11,S2,201407,12.997,15.777,16.309,14.476,10.010,4.022,6.136,5.752,8.754,4.569,0.872,0.266,0.059
treatment,T11,S3,201407,0.083,0.542,1.250,3.305,9.164,8.609,16.287,18.911,27.173,13.316,1.139,0.208,0.014
treatment,T11,S4,201407,0.273,7.541,22.056,23.871,28.056,7.726,5.941,2.458,1.629,0.361,0.078,0.010,0.000
treatment,T11,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
treatment,T12,S1,201407,5.297,6.716,10.900,14.338,21.740,10.142,10.705,7.977,8.429,3.523,0.220,0.012,0.000
treatment,T12,S2,201407,0.844,1.030,2.229,5.319,15.839,11.263,16.785,15.079,18.946,11.060,1.351,0.253,0.000
treatment,T12,S3,201407,1.391,5.000,9.342,12.632,16.372,7.556,10.113,9.624,15.432,11.353,1.053,0.094,0.038
treatment,T12,S4,201407,0.271,0.529,2.754,10.244,31.615,18.087,16.594,10.692,7.368,1.615,0.204,0.027,0.000
treatment,T12,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
treatment,T13,S1,201407,10.573,27.447,41.847,13.142,2.258,0.635,1.014,0.811,1.474,0.690,0.095,0.014,0.000
treatment,T13,S2,201407,16.858,15.612,13.340,11.068,8.905,4.129,6.951,6.084,9.211,7.232,0.599,0.012,0.000
treatment,T13,S3,201407,0.175,0.939,4.948,16.115,30.640,10.261,10.706,8.272,11.263,6.220,0.430,0.016,0.016
treatment,T13,S4,201407,0.380,1.496,3.470,5.702,14.457,9.651,14.114,14.764,19.841,9.982,4.525,1.594,0.025
treatment,T13,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
treatment,T14,S1,201407,18.705,39.685,35.009,5.631,0.366,0.064,0.095,0.175,0.143,0.095,0.016,0.016,0.000
treatment,T14,S2,201407,16.902,21.630,16.196,11.978,8.699,2.717,3.474,3.579,7.406,6.714,0.679,0.013,0.013
treatment,T14,S3,201407,5.770,9.476,13.905,14.717,19.852,6.917,7.552,6.476,9.564,5.400,0.353,0.018,0.000
treatment,T14,S4,201407,0.080,0.103,0.286,0.939,4.270,6.457,15.913,20.721,29.811,17.069,3.629,0.664,0.057
treatment,T14,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
treatment,T15,S1,201407,51.324,21.381,17.022,7.065,1.353,0.245,0.317,0.374,0.619,0.173,0.072,0.014,0.043
treatment,T15,S2,201407,14.018,10.896,13.557,18.864,17.735,5.887,6.243,4.593,5.500,2.260,0.401,0.030,0.015
treatment,T15,S3,201407,17.061,11.446,11.374,11.635,15.567,6.601,7.674,6.369,8.066,3.873,0.305,0.015,0.015
treatment,T15,S4,201407,0.739,0.511,1.008,2.230,11.277,11.362,18.137,16.603,21.290,13.166,3.054,0.611,0.014
treatment,T15,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
treatment,T16,S1,201407,35.322,26.623,17.071,6.850,4.365,2.128,2.796,1.817,2.081,0.870,0.062,0.016,0.000
treatment,T16,S2,201407,1.837,2.804,4.546,7.952,19.151,12.926,17.298,13.132,13.749,5.053,1.251,0.285,0.016
treatment,T16,S3,201407,3.419,4.572,8.885,15.245,22.063,10.614,12.701,9.163,9.561,3.339,0.417,0.020,0.000
treatment,T16,S4,201407,0.805,0.891,2.127,4.297,15.534,12.832,18.393,16.454,18.293,8.464,1.538,0.359,0.014
treatment,T16,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
