apr2017_C6,2017-04-27 0:00:00,"C6","Corbett  Galloway  Gibbons  Kelly","15:12:00","9:08:00",5.0,20.0,40.0,120.0,300.0,20.0,80.0,100.0,,,,,,,,11:56:00
apr2017_C7,2017-04-27 0:00:00,"C7","Corbett  Galloway  Gibbons  Kelly","15:12:00","9:08:00",10.0,16.0,60.0,180.0,300.0,80.0,80.0,160.0,,,,,,,,11:48:00
apr2017_C8,2017-04-27 0:00:00,"C8","Corbett  Galloway  Gibbons  Kelly","15:12:00","9:08:00",5.0,13.0,80.0,180.0,300.0,40.0,140.0,300.0,,,,,,,,11:40:00
apr2017_C9,2017-04-27 0:00:00,"C9","Corbett  Galloway  Gibbons  Kelly","15:12:00","9:08:00",7.0,15.0,60.0,180.0,300.0,80.0,140.0,300.0,,,,,,,,11:38:00
apr2017_T1,2017-04-27 0:00:00,"T1","Corbett  Galloway  Gibbons  Kelly","15:12:00","9:08:00",3.0,15.0,100.0,180.0,300.0,40.0,100.0,240.0,,60.0,82.0,62.0,"2-4",29.0,,13:20:00
apr2017_T10,2017-04-27 0:00:00,"T10","Corbett  Galloway  Gibbons  Kelly","15:12:00","9:08:00",5.0,8.0,80.0,280.0,300.0,40.0,160.0,280.0,,40.0,74.0,59.0,"2-4",30.0,,14:36:00
apr2017_T11,2017-04-27 0:00:00,"T11","Corbett  Galloway  Gibbons  Kelly","15:12:00","9:08:00",,8.0,120.0,300.0,300.0,60.0,80.0,140.0,,30.0,,,,,,14:46:00
apr2017_T12,2017-04-27 0:00:00,"T12","Corbett  Galloway  Gibbons  Kelly","15:12:00","9:08:00",5.0,7.0,80.0,280.0,300.0,40.0,100.0,120.0,,40.0,,,,,,14:53:00
apr2017_T13,2017-04-27 0:00:00,"T13","Corbett  Galloway  Gibbons  Kelly","15:12:00","9:08:00",8.0,11.0,60.0,240.0,300.0,40.0,100.0,220.0,,30.0,,,,,,15:00:00
apr2017_T14,2017-04-27 0:00:00,"T14","Corbett  Galloway  Gibbons  Kelly","15:12:00","9:08:00",3.0,11.0,100.0,260.0,300.0,20.0,80.0,200.0,,30.0,,,,,,15:08:00
apr2017_T15,2017-04-27 0:00:00,"T15","Corbett  Galloway  Gibbons  Kelly","15:12:00","9:08:00",8.0,8.0,120.0,300.0,300.0,20.0,80.0,120.0,,30.0,74.0,59.0,"2-3",32.0,,15:15:00
apr2017_T16,2017-04-27 0:00:00,"T16","Corbett  Galloway  Gibbons  Kelly","15:12:00","9:08:00",3.0,9.0,100.0,240.0,300.0,20.0,60.0,160.0,,30.0,74.0,59.0,"2-3",31.0,,15:20:00
apr2017_T2,2017-04-27 0:00:00,"T2","Corbett  Galloway  Gibbons  Kelly","15:12:00","9:08:00",3.0,18.0,60.0,220.0,300.0,60.0,120.0,240.0,,60.0,82.0,62.0,"2-4",29.0,,13:30:00
